,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
5/1/2016,0.443401269,-1.07113634,0.093569704,-0.193760754,4.182206631,-2.110695466,4.23021493,0.832790603,1.429541127,-4.570516586,0.25264765
6/1/2016,0.594253273,-0.822879003,-0.018396943,-0.02245187,3.145974408,-0.860675625,0.771287988,-7.241388362,0.459746968,-2.176908597,2.679126798
7/1/2016,0.371898989,-0.052625926,-0.035019217,-0.0065094,4.508863532,-10.50915295,0.46061832,3.868244752,-0.124731691,-0.562346935,1.26877844
8/1/2016,-0.019377578,1.658177715,0.109306865,-0.028139897,-3.697934565,-7.024711526,0.143707265,2.328107917,-0.042001714,-0.096090669,0.864704409
9/1/2016,-0.307594784,-0.17212351,0.088502577,-0.021423928,-0.4419149,0.423384086,-0.537685332,-5.851231741,0.803873456,0.44519312,4.243050067
10/1/2016,0.365298926,-1.064961047,-0.137746301,1.146212587,0.765151324,2.683160025,-0.109456508,-3.446076155,-1.969638938,0.94995339,-0.098170345
11/1/2016,0.161192367,-0.645241785,0.058587078,-0.231914684,0.784225886,4.516670976,-0.410563687,0.388443686,-0.644699003,-0.015480456,-0.909128343
12/1/2016,-0.948073461,-0.815013569,0.040941186,0.098135448,-0.014756638,5.293973535,-0.291146237,-0.032466435,-1.002103107,1.771977576,-0.678646286
1/1/2017,-1.005963621,0.388736927,0.350250959,11.23797195,-0.350809668,0.456062908,-0.130019227,0.033227769,0.483030252,7.613475385,-0.584573568
2/1/2017,9.941453467,-0.418357642,1.120157231,14.16230436,-0.785197266,0.231866743,0.157146886,-0.148125915,1.745615778,5.626523598,-1.285167366
3/1/2017,0.414658601,-2.521286219,1.158387067,1.275906074,1.446458757,0.203684567,-0.12151172,0.185813549,2.161001265,4.915534973,1.081546562
4/1/2017,0.309231141,4.267998747,-0.120906554,0.512259374,-1.94397406,0.391276303,0.05708193,2.550905725,1.794020725,1.738518591,-0.189989856
5/1/2017,-0.303790637,0.183905021,0.127722718,-0.210625582,-3.077172756,2.408173457,1.151262379,1.087854613,2.769264237,-1.271256447,-0.259764302
6/1/2017,-0.572877436,-0.466834234,-0.039448984,-0.031089779,10.90130354,-1.088544659,-0.10340016,-0.849672359,0.076091182,-1.900082215,-1.061064334
7/1/2017,0.004946093,-0.100904138,0.090509998,-0.00820085,-7.414354241,16.94607967,-0.545488295,-3.096318618,0.649306147,-0.526300907,-0.484518442
8/1/2017,-0.367792297,1.199549538,-0.052022509,-0.020960541,6.595807615,-3.833894647,-0.231893073,-0.510934747,0.359289895,-0.978651161,-0.044935486
9/1/2017,0.279509358,-0.866871375,-0.059058243,-0.0206744,3.571978227,-11.13426267,0.134203019,-5.737767385,0.612838185,0.544721909,-0.89344458
10/1/2017,-0.091472925,0.370442657,-0.186496329,-0.450291673,1.926160636,2.900479514,-0.097463815,2.80704546,2.229747181,-0.003319429,0.38551491
11/1/2017,0.141828606,-0.862177837,-0.087832308,0.284834519,-0.860191996,0.798514161,-0.121973226,-0.1950754,7.254213426,0.207873883,-0.357395893
12/1/2017,0.389846042,-1.070280593,-0.194774455,-2.662829124,-0.565692011,1.044556707,-0.275917474,0.22027055,0.043582185,4.672694358,0.024286907
1/1/2018,-0.159619567,-0.562442458,-0.263814763,-1.359706596,0.406466867,0.202833648,-0.133430986,-0.133558611,-0.592166491,-0.489075122,-1.068266974
2/1/2018,-2.244470348,4.20865318,-0.62292121,-3.130690284,-1.270546951,0.017005738,0.122069076,-0.250758445,3.253501234,3.777791604,0.052680135
