basin,year,month,ET_anomaly_mm
Murray Darling,2016,3,-8.528335868466392
Murray Darling,2016,4,-1.423442835700552
Murray Darling,2016,5,-4.707015556400503
Murray Darling,2016,6,2.18282645232312
Murray Darling,2016,7,7.936479355935109
Murray Darling,2016,8,12.316614429943613
Murray Darling,2016,9,20.892562010857574
Murray Darling,2016,10,25.04167826337325
Murray Darling,2016,11,1.3783535891530114
Murray Darling,2016,12,3.6065237669172916
Murray Darling,2017,1,0.7947359977574031
Murray Darling,2017,2,-5.424982534368194
Murray Darling,2017,3,0.37116418533699047
Murray Darling,2017,4,1.033810045721168
Murray Darling,2017,5,2.709711253483018
Murray Darling,2017,6,-0.8869295218497761
Murray Darling,2017,7,-2.5367337778924686
